,Open,High,Low,Close,Volume
2012-12-09,565.3399999999999,570.83,549.006,556.26444,28073140.0
2012-12-16,531.688,538.36838,525.32002,529.93858,23891520.0
2012-12-23,521.574,527.6940000000001,515.22,524.02004,20790140.0
2012-12-30,515.795,518.61,510.65250000000003,514.454175,11496325.0
2013-01-06,537.29875,544.674975,529.36465,537.5747,19350975.0
2013-01-13,524.652,528.04708,517.396,522.024,16443720.0
2013-01-20,500.88919999999996,505.78000000000003,494.56399999999996,499.288,23059900.0
2013-01-27,481.265,486.2075,471.6625,477.28875,35642275.0
2013-02-03,453.883,458.954,449.162,454.808,18804640.0
2013-02-10,458.33600000000007,466.198,451.834,460.142,21299360.0
2013-02-17,471.31798,476.552,465.6308,468.31800000000004,16776940.0
2013-02-24,453.51,455.2975,448.01750000000004,451.4275,15088600.0
2013-03-03,445.63,449.02997999999997,438.45200000000006,441.642,16688520.0
2013-03-10,427.61800000000005,433.21598000000006,422.77,427.8316,18152820.0
2013-03-17,432.91198,438.25200000000007,429.154,434.162,16382380.0
2013-03-24,452.634,459.22799999999995,448.5,455.3860000000001,15857100.0
2013-03-31,459.10249999999996,461.102225,453.665025,454.86400000000003,14013450.0
2013-04-07,431.826,435.81359999999995,425.87600000000003,428.3224,14461500.0
2013-04-14,429.43600000000004,433.03999999999996,426.308,430.60200000000003,11073920.0
2013-04-21,412.36,416.09800000000007,402.61440000000005,406.294,20313720.0
2013-04-28,402.241,411.70799999999997,399.567,407.1694,22948180.0
2013-05-05,438.62,445.12340000000006,435.24799999999993,441.538,18727880.0
2013-05-12,459.5,463.20599999999996,453.976,458.58959999999996,15616660.0
2013-05-19,441.36199999999997,446.408,433.184,439.0576,18119920.0
2013-05-26,438.18199999999996,446.28998,435.73400000000004,442.2468,14141620.0
2013-06-02,447.0125,452.5525,443.565,446.926,12987000.0
2013-06-09,446.314,449.55,440.08000000000004,445.0822,12693860.0
2013-06-16,437.57399999999996,441.30378,431.774,434.939,11137080.0
2013-06-23,426.438,429.64799999999997,421.3683199999999,423.4216,11455780.0
2013-06-30,401.522,404.58000000000004,394.99,398.71,14845680.0
2013-07-07,413.475,420.0425,410.8725,416.4825,12284575.0
2013-07-14,420.782,425.468,416.77202,422.38559999999995,10985600.0
2013-07-21,429.54200000000003,432.64799999999997,426.43,428.93059999999997,8178900.0
2013-07-28,434.078,436.74799999999993,429.91759999999994,433.06000000000006,11419820.0
2013-08-04,451.90254000000004,456.8265,449.75600000000003,454.5712,9724800.0
2013-08-11,463.80100000000004,466.82399999999996,459.538,463.02799999999996,10537240.0
2013-08-18,484.45,494.5798,481.20466,491.134,20395340.0
2013-08-25,505.178,508.08000000000004,500.71400000000006,503.03000000000003,11943040.0
2013-09-01,493.68,499.592,490.08599999999996,492.27439999999996,11247980.0
2013-09-08,497.8375,500.725,491.805,495.19025,11364775.0
2013-09-15,483.21006,487.25784000000004,477.7,481.22200000000004,19181900.0
2013-09-22,464.168,468.40998,458.12600000000003,461.966,17884240.0
2013-09-29,489.992,491.05,483.29402,486.04799999999994,13633360.0
2013-10-06,483.14,487.91,479.17614000000003,484.142,10606040.0
2013-10-13,487.89,491.46000000000004,483.274,487.54560000000004,10366260.0
2013-10-20,498.8190000000001,503.23,497.89799999999997,501.8448,9837200.0
2013-10-27,522.698,528.82392,517.222,524.8115,14060360.0
2013-11-03,526.788,530.012,518.376,522.8363999999999,14935700.0
2013-11-10,520.798,524.9770000000001,516.996,521.2342,9108240.0
